iter	Passed	Remaining
403	4469	6593
404	4474	6574
405	4478	6552
406	4483	6531
407	4488	6513
408	4493	6492
409	4496	6470
410	4502	6452
411	4507	6432
412	4511	6411
413	4516	6392
414	4520	6372
415	4525	6352
416	4529	6332
417	4536	6315
418	4540	6295
419	4545	6276
420	4550	6258
421	4555	6238
422	4562	6223
423	4564	6200
424	4569	6181
425	4573	6162
426	4582	6149
427	4591	6136
428	4599	6121
429	4603	6101
430	4609	6085
431	4617	6071
432	4622	6052
433	4629	6037
434	4635	6020
435	4644	6007
436	4650	5991
437	4658	5977
438	4664	5961
439	4669	5942
440	4675	5927
441	4681	5909
442	4690	5897
443	4698	5883
444	4704	5867
445	4708	5849
446	4715	5834
447	4724	5821
448	4730	5805
449	4738	5791
450	4744	5775
451	4749	5758
452	4758	5745
453	4762	5727
454	4766	5709
455	4773	5694
456	4778	5677
457	4782	5659
458	4788	5643
459	4792	5625
460	4796	5608
461	4801	5590
462	4806	5574
463	4811	5557
464	4818	5544
465	4824	5528
466	4828	5510
467	4833	5495
468	4838	5477
469	4843	5461
470	4848	5445
471	4852	5428
472	4857	5411
473	4861	5394
474	4867	5380
475	4872	5363
476	4876	5346
477	4882	5332
478	4887	5315
479	4891	5298
480	4898	5285
481	4902	5269
482	4906	5252
483	4913	5238
484	4917	5222
485	4922	5206
486	4930	5193
487	4936	5178
488	4941	5163
489	4946	5148
490	4950	5131
491	4957	5118
492	4963	5104
493	4967	5087
494	4972	5072
495	4980	5060
496	4984	5044
497	4993	5033
498	4998	5018
499	5004	5004
500	5010	4990
501	5014	4974
502	5024	4964
503	5028	4948
504	5033	4933
505	5041	4921
506	5045	4906
507	5053	4894
508	5058	4879
509	5062	4863
510	5071	4852
511	5075	4837
512	5082	4825
513	5087	4810
514	5093	4797
515	5103	4787
516	5108	4772
517	5117	4761
518	5121	4746
519	5125	4731
520	5134	4720
521	5137	4704
522	5147	4694
523	5151	4679
524	5155	4664
525	5165	4654
526	5169	4639
527	5175	4627
528	5180	4612
529	5183	4597
530	5190	4584
531	5194	4569
532	5198	4554
533	5201	4539
534	5207	4526
535	5211	4511
536	5216	4497
537	5221	4483
538	5225	4469
539	5229	4454
540	5232	4439
541	5238	4426
542	5241	4411
543	5246	4397
544	5250	4383
545	5255	4369
546	5259	4355
547	5263	4341
548	5271	4330
549	5274	4315
550	5279	4302
551	5286	4290
552	5290	4276
553	5293	4261
554	5297	4247
555	5303	4235
556	5307	4221
557	5311	4206
558	5316	4193
559	5320	4180
560	5322	4165
561	5326	4151
562	5331	4138
563	5336	4125
564	5340	4111
565	5345	4098
566	5350	4086
567	5354	4072
568	5359	4059
569	5368	4049
570	5372	4036
571	5379	4025
572	5384	4012
573	5388	3999
574	5396	3989
575	5400	3975
576	5410	3966
577	5415	3953
578	5421	3942
579	5429	3931
580	5434	3919
581	5442	3908
582	5447	3896
583	5455	3886
584	5459	3873
585	5464	3860
586	5473	3851
587	5478	3838
588	5487	3828
589	5493	3817
590	5501	3807
591	5507	3795
592	5513	3784
593	5518	3772
594	5523	3759
595	5528	3747
596	5533	3735
597	5538	3722
598	5541	3710
599	5547	3698
600	5551	3685
601	5555	3672
602	5561	3661
603	5565	3648
604	5570	3636
605	5575	3624
606	5580	3612
607	5582	3599
608	5586	3586
609	5592	3575
610	5596	3563
611	5600	3550
612	5604	3538
613	5610	3527
614	5614	3514
615	5618	3502
616	5624	3491
617	5628	3479
618	5632	3466
619	5637	3455
620	5643	3444
621	5647	3431
622	5651	3419
623	5657	3409
624	5662	3397
625	5667	3385
626	5672	3374
627	5676	3362
628	5681	3351
629	5687	3340
630	5691	3328
631	5695	3316
632	5700	3305
633	5705	3293
634	5709	3281
635	5713	3270
636	5719	3259
637	5723	3247
638	5727	3235
639	5731	3224
640	5736	3213
641	5740	3201
642	5744	3189
643	5749	3178
644	5753	3166
645	5757	3155
646	5761	3143
647	5766	3132
648	5770	3120
649	5774	3109
650	5779	3098
651	5783	3087
652	5787	3075
653	5791	3064
654	5796	3053
655	5800	3041
656	5804	3030
657	5810	3019
658	5814	3008
659	5817	2997
660	5822	2986
661	5827	2975
662	5831	2964
663	5835	2952
664	5841	2942
665	5845	2931
666	5848	2920
667	5854	2909
668	5859	2898
669	5862	2887
670	5866	2876
671	5871	2865
672	5875	2854
673	5879	2843
674	5884	2833
675	5889	2822
676	5894	2812
677	5901	2802
678	5905	2791
679	5909	2781
680	5913	2769
681	5919	2759
682	5923	2749
683	5926	2737
684	5930	2727
685	5934	2716
686	5938	2705
687	5942	2694
688	5947	2684
689	5951	2673
690	5955	2663
691	5960	2652
692	5965	2642
693	5970	2632
694	5975	2622
695	5980	2612
696	5984	2601
697	5988	2590
698	5992	2580
699	5997	2570
700	6000	2559
701	6004	2548
702	6008	2538
703	6013	2528
704	6017	2517
705	6020	2507
706	6027	2497
707	6030	2487
708	6034	2476
709	6038	2466
710	6043	2456
