iter	Logloss
0	0.6896397082
1	0.6859415938
2	0.6827379981
3	0.6790932102
4	0.6755415999
5	0.6718635079
6	0.6681619598
7	0.6645024966
8	0.661198787
9	0.6574714498
10	0.6538881033
11	0.6504326452
12	0.6474754791
13	0.6443446747
14	0.6411186215
15	0.6379719177
16	0.6350260397
17	0.6317427281
18	0.6288190454
19	0.6263799511
20	0.6234376982
21	0.6205943734
22	0.6183262518
23	0.6158273783
24	0.6132448103
25	0.6106441721
26	0.608048217
27	0.6052529059
28	0.6026333777
29	0.6001523799
30	0.5977802939
31	0.5952878607
32	0.593387341
33	0.5911776967
34	0.5887407912
35	0.5862613547
36	0.5840853473
37	0.5820008355
38	0.5793236334
39	0.5774471474
40	0.5750032939
41	0.5730136784
42	0.571052009
43	0.5689489227
44	0.5670818433
45	0.5648887316
46	0.5627739913
47	0.5609531027
48	0.5594665982
49	0.5576766513
50	0.5553399242
51	0.5533843697
52	0.5514892973
53	0.5498035892
54	0.5484576588
55	0.5466843479
56	0.5451150765
57	0.5432782965
58	0.5413056117
59	0.5395545345
60	0.538029821
61	0.5364513826
62	0.5350542359
63	0.533364588
64	0.5319467649
65	0.5302907428
66	0.5285938045
67	0.5267443878
68	0.5251736618
69	0.5238677504
70	0.522496105
71	0.5207551083
72	0.5192055531
73	0.518185618
74	0.5166045005
75	0.51565663
76	0.5141237903
77	0.5128356988
78	0.5117249066
79	0.5099625007
80	0.5084688456
81	0.5073179921
82	0.5061264322
83	0.5046071929
84	0.5033135288
85	0.5020287798
86	0.5010060439
87	0.4999233555
88	0.4988229961
89	0.4974067958
90	0.4962081577
91	0.4952158157
92	0.4940059493
93	0.49251465
94	0.4914190496
95	0.4903931681
96	0.4892161558
97	0.4885997352
98	0.4874760031
99	0.4866626442
100	0.4858031311
101	0.4848442322
102	0.4839233836
103	0.4832508081
104	0.4823448966
105	0.4812392523
106	0.4804586622
107	0.4798116463
108	0.478921569
109	0.4781123502
110	0.4770927772
111	0.4763619191
112	0.4756044703
113	0.4745589815
114	0.4737881864
115	0.4732558917
116	0.4722890555
117	0.471348467
118	0.4711473374
119	0.4699831558
120	0.4686933144
121	0.467740139
122	0.4667219273
123	0.4659072173
124	0.464818457
125	0.4638282692
126	0.4630987341
127	0.4623036555
128	0.4615099991
129	0.4607505369
130	0.4599380649
131	0.459105672
132	0.4583487751
133	0.4578941793
134	0.4570807401
135	0.4563527607
136	0.4556515848
137	0.4548555838
138	0.4540700228
139	0.4534676194
140	0.453078041
141	0.4523610005
142	0.4517817072
143	0.4512753722
144	0.4506731378
145	0.4500929217
146	0.4493506392
147	0.4481659793
148	0.447483173
149	0.4463677656
150	0.4457963334
151	0.4455286111
152	0.4449385368
153	0.4442828748
154	0.4436383009
155	0.443127401
156	0.4426409839
157	0.4419377838
158	0.4412050713
159	0.4404115903
160	0.4402199085
161	0.4397340061
162	0.4390739319
163	0.4386095508
164	0.4379513664
165	0.4374268825
166	0.4367990559
167	0.4362092232
168	0.435439372
169	0.4348756665
170	0.4345096576
171	0.4339014622
172	0.4332522698
173	0.4327288332
174	0.4320967212
175	0.4317519458
176	0.4311807532
177	0.4304171808
178	0.4298581744
179	0.4294626504
180	0.4287991973
